source_file,howdy_level,unit,unit_item_order,sequence_in_source,answer_text,definition_zh,prompt_en
howdy_1_all_units.csv,1,1,1,1,peter,人名 P_ _ _ _,My friend Peter is very nice.
howdy_1_all_units.csv,1,1,2,2,grace,人名 G_ _ _ _,Grace likes to read books.
howdy_1_all_units.csv,1,1,3,3,lucy,人名 L_ _ _ y,Lucy has a beautiful smile.
howdy_1_all_units.csv,1,1,4,4,lynn,人名 L_ _ _ n,Lynn is my classmate.
howdy_1_all_units.csv,1,1,5,5,steve,人名 S_ _ _ _,Steve plays basketball very well.
howdy_1_all_units.csv,1,1,6,6,good morning,早安,Good morning! How are you today?
howdy_1_all_units.csv,1,1,7,7,jennifer,人名 J_ _ _ _ _ _ _,Jennifer is our English teacher.
howdy_1_all_units.csv,1,1,8,8,good afternoon,午安,Good afternoon! Nice to see you.
howdy_1_all_units.csv,1,1,9,9,yuma,人名 Y_ _ _ _,Yuma comes from Japan.
howdy_1_all_units.csv,1,1,10,10,good evening,晚安,Good evening! Have a great night.
howdy_1_all_units.csv,1,1,11,11,mr. clark,人名 Mr. _ _ _ _ _,Mr. Clark teaches us math.
howdy_1_all_units.csv,1,1,12,12,good-bye,再見,Good-bye! See you tomorrow.
howdy_1_all_units.csv,1,1,13,13,tim,人名 T_ _,Tim is my little brother.
howdy_1_all_units.csv,1,1,14,14,sam,人名 S_ _,Sam likes to play soccer.
howdy_1_all_units.csv,1,2,1,15,one,1,There is one cat on the table.
howdy_1_all_units.csv,1,2,2,16,nine,9,There are nine dogs in the yard.
howdy_1_all_units.csv,1,2,3,17,two,2,There are two dogs in the yard.
howdy_1_all_units.csv,1,2,4,18,ten,10,I have ten fingers.
howdy_1_all_units.csv,1,2,5,19,three,3,There are three apples in the bowl.
howdy_1_all_units.csv,1,2,6,20,rabbit,兔子,Rabbits like carrots.
howdy_1_all_units.csv,1,2,7,21,four,4,There are four places on the table.
howdy_1_all_units.csv,1,2,8,22,cat,貓,Kelly has a brown cat.
howdy_1_all_units.csv,1,2,9,23,five,5,I have five fingers.
howdy_1_all_units.csv,1,2,10,24,dog,狗,Jokes dog is very big.
howdy_1_all_units.csv,1,2,11,25,six,6,There are six fish in the pond.
howdy_1_all_units.csv,1,2,12,26,bird,小鳥,This bird is very pretty.
howdy_1_all_units.csv,1,2,13,27,seven,7,There are seven days in a week.
howdy_1_all_units.csv,1,2,14,28,eight,8,There are eight children in the yard.
howdy_1_all_units.csv,1,3,1,29,father,父親,My father is very tall.
howdy_1_all_units.csv,1,3,2,30,short,矮的、短的,Tom is short but strong.
howdy_1_all_units.csv,1,3,3,31,mother,母親,My mother cooks delicious food.
howdy_1_all_units.csv,1,3,4,32,grandpa,爺爺、外公,Grandpa tells funny stories.
howdy_1_all_units.csv,1,3,5,33,brother,哥哥/弟弟,My brother plays guitar.
howdy_1_all_units.csv,1,3,6,34,grandma,奶奶、外婆,Grandma makes the best cookies.
howdy_1_all_units.csv,1,3,7,35,sister,姊姊/妹妹,My sister loves dancing.
howdy_1_all_units.csv,1,3,8,36,young,幼小的,The young boy is very smart.
howdy_1_all_units.csv,1,3,9,37,baby,寶寶,The baby is sleeping quietly.
howdy_1_all_units.csv,1,3,10,38,old,老的、舊的,This old tree is very big.
howdy_1_all_units.csv,1,3,11,39,chubby,圓胖的,The chubby cat is very cute.
howdy_1_all_units.csv,1,3,12,40,pretty,漂亮的,She wears a pretty dress.
howdy_1_all_units.csv,1,3,13,41,thin,瘦的,The thin man runs very fast.
howdy_1_all_units.csv,1,3,14,42,tall,高的,The tall building has many floors.
howdy_1_all_units.csv,1,4,1,43,book,書,I love reading this book.
howdy_1_all_units.csv,1,4,2,44,circle,圓圈,Draw a perfect circle here.
howdy_1_all_units.csv,1,4,3,45,pencil,鉛筆,Please give me a pencil.
howdy_1_all_units.csv,1,4,4,46,square,正方形,This square is very neat.
howdy_1_all_units.csv,1,4,5,47,pen,筆、鋼筆,I write with a blue pen.
howdy_1_all_units.csv,1,4,6,48,triangle,三角形,Can you draw a triangle?
howdy_1_all_units.csv,1,4,7,49,eraser,橡皮擦、板擦,Use the eraser to fix mistakes.
howdy_1_all_units.csv,1,4,8,50,heart,心型,I drew a red heart.
howdy_1_all_units.csv,1,4,9,51,crayon,蠟筆,Color the picture with crayons.
howdy_1_all_units.csv,1,4,10,52,diamond,菱形、鑽石,The diamond shape is beautiful.
howdy_1_all_units.csv,1,4,11,53,ruler,尺,Measure the line with a ruler.
howdy_1_all_units.csv,1,4,12,54,pencil case,鉛筆盒,Put your pencils in the pencil case.
howdy_1_all_units.csv,1,4,13,55,schoolbag,書包,Pack your books in the schoolbag.
howdy_1_all_units.csv,1,5,1,56,tiger,虎,The tiger is very strong.
howdy_1_all_units.csv,1,5,2,57,long,長的,This snake is very long.
